model,text,y_true,y_pred
qwen2.5:3b-instruct-q4_K_M,I messed up and made a transaction using the wrong account.,Transfers,Disputes
qwen2.5:3b-instruct-q4_K_M,I have just read my statement and there is a payment I don't recognise.,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Can you tell me what cards and currencies you support?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,How much longer is it going to take to get my new card?,Cards,Account
qwen2.5:3b-instruct-q4_K_M,"I want to do a bank transfer to this bank, from an account at another bank.",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,What type of fiat currencies do you support?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here?",Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,What is the cost for physical cards?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,totally unacceptable.  I'm stranded with no cash because the ATM wouldn't give me any money!,Payments,Topups
qwen2.5:3b-instruct-q4_K_M,"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,"My phone was stolen, help!",Account,Account
qwen2.5:3b-instruct-q4_K_M,"I no longer have my phone with the app, what should I do?",Account,Account
qwen2.5:3b-instruct-q4_K_M,What do I do if my card is stolen?,Account,Disputes
qwen2.5:3b-instruct-q4_K_M,"top up google pay, is it possible?",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Please specify any limitations that come along with disposable cards.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,I have a trip coming up and want to add money automatically.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,My package is taking too long to arrive and I don't want it anymore. Can I get a refund?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I just sent money but the person I sent it to doesn't see it. What happened?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I deposited a cheque and its been days and I still haven't received the cash!!,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,The machine only paid me a hundred when I wanted 20,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I used my card to top-up but the money is gone!,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I made a transfer from my UK account a couple of hours ago.  Could you please make sure everything went alright.,Topups,Transfers
qwen2.5:3b-instruct-q4_K_M,I got some cash in the ATM but its still pending,Payments,Topups
qwen2.5:3b-instruct-q4_K_M,I would like to use one of my cards for a family member. Is that allowed?,Cards,Transfers
qwen2.5:3b-instruct-q4_K_M,can I use it all over the world?,Account,Payments
qwen2.5:3b-instruct-q4_K_M,ATM withdrawal not working.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Why does it show that my transfer is still pending?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,"Hi, status of one of my card payment is still pending from a while. Please let e know how much time it will take to complete.",Payments,Payments
qwen2.5:3b-instruct-q4_K_M,There should be a cash withdrawal that I haven't seen yet.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,how do I find the code to verify the top up card?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,how many transactions can go on a disposable card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Explain the extra ATM fees.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Can you tell me what I need to do for the identity check process?,Account,Account
qwen2.5:3b-instruct-q4_K_M,I need info on activating my card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,How long will my cash withdrawal take,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,What should I do since my card is trapped in the ATM?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Is there a limit for top ups?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"So, I am in the middle of purchasing a flat. I need the money for the first mortgage payment and it is not going through. I keep receiving an error. Can you find out what's going on and help me complete this transfer?",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Why is my cash withdrawal pending?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,What do I do if I have been charged twice?,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.,Account,Disputes
qwen2.5:3b-instruct-q4_K_M,Why do transfers get declined?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I used foreign currency to buy something and I think the rate applied is incorrect.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Do you accept cheques for top ups?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,When will my top up be approved?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,The wrong exchange rate was used when I purchased an item.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"I thought I knew my password but I guess I was wrong, what can I do now?",Account,Account
qwen2.5:3b-instruct-q4_K_M,Please can i get a disposable virtual card as well?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Can I add money in intervals to my account?  I will be traveling.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,How can I unblock my PIN?,Account,Account
qwen2.5:3b-instruct-q4_K_M,What are the steps for the identity checks?,Account,Account
qwen2.5:3b-instruct-q4_K_M,I'd prefer to use my American Express when putting funds into my account.,Cards,Payments
qwen2.5:3b-instruct-q4_K_M,I didn't make these transactions. Is someone else using my card?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Its been several days and my cash withdrawal is still pending. Why?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,When I exchanged currencies the value of my money changed.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,My transfer is failing when I try to do it.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Is there a reason I was charged an extra fee for using the ATM?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,There is a payment made with my card that I don't recognize at all.,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Am I going to be charged for receiving  money?,Topups,Payments
qwen2.5:3b-instruct-q4_K_M,I want to set up an auto top-up,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I am angry that I got charged for using my card.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Do you support other currencies?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I have a payment which has not been approved.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I didn't make this payment and it's on my app,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I need help fixing my contactless. It's not working anywhere I go today.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Can I use my social security card as a form of identity?,Account,Account
qwen2.5:3b-instruct-q4_K_M,The exchange rate applied was incorrect when I was traveling outside the country.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,What are the steps that I need to take to activate a new card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,I paid with my card and was charged extra,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,"How long does the ""pending"" period of a transfer take?",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I tried doing an in country transfer earlier this week. I thought it would be there by now but I still don't see the money. Can you check the status on my transfer?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,i tried to do a transfer to an account but it didn't work,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Where can I find a Mastercard ATM?,Payments,Cards
qwen2.5:3b-instruct-q4_K_M,"My card was used without my permission, what do I do?",Account,Disputes
qwen2.5:3b-instruct-q4_K_M,How does your app transfer the money,Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,I wish to use my American Express to put funds into my account.,Cards,Payments
qwen2.5:3b-instruct-q4_K_M,Do you accept US credit cards?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,can i go into my app to find my pin,Cards,Account
qwen2.5:3b-instruct-q4_K_M,"Um, my top up didn't work",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I was trying to purchase some crypto and the app won't allow me to do it. What's the deal with this? I really wanted to complete the exchange.,Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,Can this app be used to exchange currencies?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,My card payment was cancelled it seems.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,When will I get a virtual card? I haven't gotten one yet,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening.",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I sent money to someone but they haven't gotten it yet,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,If I top-up by using a trasfer are there charges that applied?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Where do I find my PIN for my new card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Can I use American express with apple pay? Why does it make my top up not work?,Topups,Cards
qwen2.5:3b-instruct-q4_K_M,Who do I talk to about the ATM swallowing my card?,Cards,Account
qwen2.5:3b-instruct-q4_K_M,Is there any way to cancel my transfer,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I just did a money transaction but its not showing they received it,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,It won't let me prove my identity.,Account,Account
qwen2.5:3b-instruct-q4_K_M,Where do I scan my card?,Cards,Payments
qwen2.5:3b-instruct-q4_K_M,Where can I find the auto-top up feature?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Do I get any sort of discount on volume for a lot fo currency exchanges?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,"It seems you keep declining my transfers. Before, it's always worked very well.Just now when I tried to buy something the card was declined. I tried more than once and it was the same thing each time.",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,"There was money taken out of my account, and I'm pretty sure I didn't do it.",Disputes,Account
qwen2.5:3b-instruct-q4_K_M,Are there ATM fees?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,"I have been doing some online shopping, but when checking out, it keeps getting declined. I tried a few times and it wouldn't work. What could be wrong?",Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,There's a direct debit payment that I don't recognize.,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Can I change my pin at a cash machine?,Account,Account
qwen2.5:3b-instruct-q4_K_M,I don't need to transfer anymore and I want to cancel it.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,how do i find out about transfers,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I want to top up by cheque,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Please delete my account now.,Account,Account
qwen2.5:3b-instruct-q4_K_M,"Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out?",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,What are the auto-top up policies?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I don't understand why you aren't accepting my transfer. After a couple times trying I'm still getting an error message.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Do you have an age requirement when opening an account with your service?,Account,Account
qwen2.5:3b-instruct-q4_K_M,What form of identification is accepted?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Help! I lost my card!,Account,Account
qwen2.5:3b-instruct-q4_K_M,Why did they take more money out then I withdrawed?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Do I need to verify my top-up?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Can I use top-up with Apple pay?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I happened to forget my password,Account,Account
qwen2.5:3b-instruct-q4_K_M,My pin isn't here yet,Cards,Account
qwen2.5:3b-instruct-q4_K_M,Cash withdrawal was incorrect at ATM.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,What's the transfer time from Europe?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Can I use google pay for topping -up,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Tell me why my transfer is pending.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Where can I use my Mastercard?,Payments,Cards
qwen2.5:3b-instruct-q4_K_M,My card payment won't work.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,How to I switch my money for the money used in another country?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I want my purchases cancelled.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,What should I expect to be charged on a SEPA transfer?,Topups,Payments
qwen2.5:3b-instruct-q4_K_M,Will there be a charge for exchanging foreign currency?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I'm not sure what I need to verify my identity.,Account,Account
qwen2.5:3b-instruct-q4_K_M,How much would an extra card cost?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,I need to change a transfer.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Is there a way I can get my card expedited?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,how much for a physical card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"If I lost my phone at the hotel, can I still use the app?",Account,Account
qwen2.5:3b-instruct-q4_K_M,Why did my payment not go through why did it cancel?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I am so angry right now!  I went to the ATM and did not get the correct amount of money I chose to withdraw.  How could this happen?  I need my money and want to know how I can get it ASAP!,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,How many transactions can I make on my disposable card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"My PIN is unlocked, what do I do?",Account,Account
qwen2.5:3b-instruct-q4_K_M,How do I get a refund for an unauthorized direct debit payment?,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,My identity can't be verified for some reason,Account,Account
qwen2.5:3b-instruct-q4_K_M,is there a way to see where funds come from,Account,Payments
qwen2.5:3b-instruct-q4_K_M,I think the exchange rate for the cash I withdrew was wrong.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,How quickly can you get me my card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,My card expires next week. How do I get a new one?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Can you lookup my password?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Can my 8 year old grandson open an account at the bank?,Account,Account
qwen2.5:3b-instruct-q4_K_M,"For some reason, the money I added was returned.",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"When I got cash, my exchange rate was off.",Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,How can you assist on verifying my identity?,Account,Account
qwen2.5:3b-instruct-q4_K_M,why do I have to show my ID,Account,Account
qwen2.5:3b-instruct-q4_K_M,You promised no fees but now I've got one. What the hell!?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,My payment did not go through because the app reverted it,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,Is it free to transfer money or is there a fee?,Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,"My refund has not arrived, and I am unsure why. Who do I contact?",Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Why would my payment still show as pending?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,How do I auto top-up?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Is there a limit to auto top?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I haven't received my virtual card.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Is the top-up amount unlimited?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"I have obtained the salary in GBP, will it need to be configured?",Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,Can I track my card while it is in the process of delivery?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Where can I edit personal details?,Account,Account
qwen2.5:3b-instruct-q4_K_M,"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",Disputes,Account
qwen2.5:3b-instruct-q4_K_M,How old do my kids need to be to open an account?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Why are all my card payments being declined?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,My cheque is taking a while,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Why wasn't my bank balance updated?,Topups,Account
qwen2.5:3b-instruct-q4_K_M,WHAT IS THE SOLUTION OF THIS PROBLEM,Cards,Transfers
qwen2.5:3b-instruct-q4_K_M,How do you determine the exchange rate?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,How can I change to my married name?,Account,Account
qwen2.5:3b-instruct-q4_K_M,"While transferring money, its getting error out as my transfer is not possible. Please help me in this as earlier i was able to do it successfully.",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,My wallet doesn't show my recent top up.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Need a new passcode.,Account,Account
qwen2.5:3b-instruct-q4_K_M,What will I need to configure if my salary is in GBP?,Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,When I topped up the app reverted it.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I have one other credit card from the US. Do you take it?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,"Hi, My card is getting declined continuously when i am trying to top-up. Request you to look into this issue or tell me any other alternatives.",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"I am wanting to refill my card, is there a charge?",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,How long does it take for money to reach my account?,Topups,Payments
qwen2.5:3b-instruct-q4_K_M,Is there a limit to the number of disposable cards per day?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,How come the money from the merchant appeared back into my account?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"My transfer is quite urgent, and finally worked out, but I've been waiting for it for quite some time. Can you tell me how long to expect to wait for it?",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,In which countries can I get a card?,Account,Cards
qwen2.5:3b-instruct-q4_K_M,I am having trouble activating my card.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"how many virtual cards can i have, i want 8",Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Someone took my card without my permission.,Account,Disputes
qwen2.5:3b-instruct-q4_K_M,How long do transfers take to show up in my account?,Topups,Transfers
qwen2.5:3b-instruct-q4_K_M,How do I reset my passcode?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Is my card payment reverted?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I need to know what charges I will incur for using a European card for top up.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,My card activation attempt failed.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"Hi,  One of payment is still coming as pending for which i have already paid by card. I guess it did not processed, could you please check and update me.",Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I'll send a check to top up my account,Topups,Topups
