text,label
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",Cards
"I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here?",Disputes
What is the cost for physical cards?,Cards
totally unacceptable.  I'm stranded with no cash because the ATM wouldn't give me any money!,Payments
"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",Disputes
"My phone was stolen, help!",Account
"I no longer have my phone with the app, what should I do?",Account
What do I do if my card is stolen?,Account
"top up google pay, is it possible?",Topups
Please specify any limitations that come along with disposable cards.,Cards
I have a trip coming up and want to add money automatically.,Topups
My package is taking too long to arrive and I don't want it anymore. Can I get a refund?,Disputes
I just sent money but the person I sent it to doesn't see it. What happened?,Transfers
I deposited a cheque and its been days and I still haven't received the cash!!,Topups
The machine only paid me a hundred when I wanted 20,Disputes
I used my card to top-up but the money is gone!,Topups
I made a transfer from my UK account a couple of hours ago.  Could you please make sure everything went alright.,Topups
I got some cash in the ATM but its still pending,Payments
I would like to use one of my cards for a family member. Is that allowed?,Cards
can I use it all over the world?,Account
ATM withdrawal not working.,Payments
Why does it show that my transfer is still pending?,Transfers
"Hi, status of one of my card payment is still pending from a while. Please let e know how much time it will take to complete.",Payments
There should be a cash withdrawal that I haven't seen yet.,Payments
how do I find the code to verify the top up card?,Topups
how many transactions can go on a disposable card?,Cards
Explain the extra ATM fees.,Payments
Can you tell me what I need to do for the identity check process?,Account
I need info on activating my card?,Cards
How long will my cash withdrawal take,Payments
What should I do since my card is trapped in the ATM?,Cards
Is there a limit for top ups?,Topups
"So, I am in the middle of purchasing a flat. I need the money for the first mortgage payment and it is not going through. I keep receiving an error. Can you find out what's going on and help me complete this transfer?",Transfers
Why is my cash withdrawal pending?,Payments
What do I do if I have been charged twice?,Disputes
I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.,Account
Why do transfers get declined?,Transfers
I used foreign currency to buy something and I think the rate applied is incorrect.,Disputes
"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",Payments
Do you accept cheques for top ups?,Topups
When will my top up be approved?,Topups
The wrong exchange rate was used when I purchased an item.,Disputes
"I thought I knew my password but I guess I was wrong, what can I do now?",Account
Please can i get a disposable virtual card as well?,Cards
Can I add money in intervals to my account?  I will be traveling.,Topups
How can I unblock my PIN?,Account
What are the steps for the identity checks?,Account
I'd prefer to use my American Express when putting funds into my account.,Cards
I didn't make these transactions. Is someone else using my card?,Account
Its been several days and my cash withdrawal is still pending. Why?,Payments
When I exchanged currencies the value of my money changed.,Disputes
My transfer is failing when I try to do it.,Transfers
Is there a reason I was charged an extra fee for using the ATM?,Payments
There is a payment made with my card that I don't recognize at all.,Disputes
Am I going to be charged for receiving  money?,Topups
I want to set up an auto top-up,Topups
I am angry that I got charged for using my card.,Payments
Do you support other currencies?,Payments
I have a payment which has not been approved.,Payments
I didn't make this payment and it's on my app,Disputes
I need help fixing my contactless. It's not working anywhere I go today.,Cards
Can I use my social security card as a form of identity?,Account
The exchange rate applied was incorrect when I was traveling outside the country.,Disputes
What are the steps that I need to take to activate a new card?,Cards
I paid with my card and was charged extra,Payments
"How long does the ""pending"" period of a transfer take?",Transfers
I tried doing an in country transfer earlier this week. I thought it would be there by now but I still don't see the money. Can you check the status on my transfer?,Transfers
i tried to do a transfer to an account but it didn't work,Transfers
Where can I find a Mastercard ATM?,Payments
"My card was used without my permission, what do I do?",Account
How does your app transfer the money,Transfers
I wish to use my American Express to put funds into my account.,Cards
Do you accept US credit cards?,Cards
can i go into my app to find my pin,Cards
"Um, my top up didn't work",Topups
I was trying to purchase some crypto and the app won't allow me to do it. What's the deal with this? I really wanted to complete the exchange.,Transfers
Can this app be used to exchange currencies?,Payments
My card payment was cancelled it seems.,Disputes
When will I get a virtual card? I haven't gotten one yet,Cards
"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening.",Transfers
I sent money to someone but they haven't gotten it yet,Transfers
If I top-up by using a trasfer are there charges that applied?,Topups
Where do I find my PIN for my new card?,Cards
Can I use American express with apple pay? Why does it make my top up not work?,Topups
Who do I talk to about the ATM swallowing my card?,Cards
Is there any way to cancel my transfer,Transfers
I just did a money transaction but its not showing they received it,Transfers
It won't let me prove my identity.,Account
Where do I scan my card?,Cards
Where can I find the auto-top up feature?,Topups
Do I get any sort of discount on volume for a lot fo currency exchanges?,Payments
"It seems you keep declining my transfers. Before, it's always worked very well.Just now when I tried to buy something the card was declined. I tried more than once and it was the same thing each time.",Transfers
"There was money taken out of my account, and I'm pretty sure I didn't do it.",Disputes
Are there ATM fees?,Payments
"I have been doing some online shopping, but when checking out, it keeps getting declined. I tried a few times and it wouldn't work. What could be wrong?",Transfers
There's a direct debit payment that I don't recognize.,Disputes
Can I change my pin at a cash machine?,Account
I don't need to transfer anymore and I want to cancel it.,Transfers
how do i find out about transfers,Transfers
I want to top up by cheque,Topups
Please delete my account now.,Account
"Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out?",Topups
What are the auto-top up policies?,Topups
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,Topups
I don't understand why you aren't accepting my transfer. After a couple times trying I'm still getting an error message.,Transfers
Do you have an age requirement when opening an account with your service?,Account
What form of identification is accepted?,Account
Help! I lost my card!,Account
Why did they take more money out then I withdrawed?,Payments
Do I need to verify my top-up?,Topups
Can I use top-up with Apple pay?,Topups
I happened to forget my password,Account
My pin isn't here yet,Cards
Cash withdrawal was incorrect at ATM.,Disputes
What's the transfer time from Europe?,Transfers
Can I use google pay for topping -up,Topups
Tell me why my transfer is pending.,Transfers
Where can I use my Mastercard?,Payments
My card payment won't work.,Payments
How to I switch my money for the money used in another country?,Payments
I want my purchases cancelled.,Disputes
What should I expect to be charged on a SEPA transfer?,Topups
Will there be a charge for exchanging foreign currency?,Payments
I'm not sure what I need to verify my identity.,Account
How much would an extra card cost?,Cards
I need to change a transfer.,Transfers
Is there a way I can get my card expedited?,Cards
how much for a physical card?,Cards
"If I lost my phone at the hotel, can I still use the app?",Account
Why did my payment not go through why did it cancel?,Disputes
I am so angry right now!  I went to the ATM and did not get the correct amount of money I chose to withdraw.  How could this happen?  I need my money and want to know how I can get it ASAP!,Disputes
"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",Topups
How many transactions can I make on my disposable card?,Cards
"My PIN is unlocked, what do I do?",Account
How do I get a refund for an unauthorized direct debit payment?,Disputes
My identity can't be verified for some reason,Account
is there a way to see where funds come from,Account
I think the exchange rate for the cash I withdrew was wrong.,Disputes
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Disputes
How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,Payments
How quickly can you get me my card?,Cards
My card expires next week. How do I get a new one?,Cards
Can you lookup my password?,Account
Can my 8 year old grandson open an account at the bank?,Account
"For some reason, the money I added was returned.",Topups
"When I got cash, my exchange rate was off.",Disputes
How can you assist on verifying my identity?,Account
why do I have to show my ID,Account
You promised no fees but now I've got one. What the hell!?,Payments
I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,Topups
My payment did not go through because the app reverted it,Disputes
Is it free to transfer money or is there a fee?,Transfers
"My refund has not arrived, and I am unsure why. Who do I contact?",Disputes
Why would my payment still show as pending?,Payments
How do I auto top-up?,Topups
How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.,Payments
Is there a limit to auto top?,Topups
I haven't received my virtual card.,Cards
Is the top-up amount unlimited?,Topups
"I have obtained the salary in GBP, will it need to be configured?",Transfers
Can I track my card while it is in the process of delivery?,Cards
Where can I edit personal details?,Account
"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",Disputes
How old do my kids need to be to open an account?,Account
Why are all my card payments being declined?,Payments
My cheque is taking a while,Topups
Why wasn't my bank balance updated?,Topups
WHAT IS THE SOLUTION OF THIS PROBLEM,Cards
How do you determine the exchange rate?,Payments
How can I change to my married name?,Account
"While transferring money, its getting error out as my transfer is not possible. Please help me in this as earlier i was able to do it successfully.",Transfers
My wallet doesn't show my recent top up.,Topups
Need a new passcode.,Account
What will I need to configure if my salary is in GBP?,Transfers
When I topped up the app reverted it.,Topups
I have one other credit card from the US. Do you take it?,Cards
"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",Disputes
"Hi, My card is getting declined continuously when i am trying to top-up. Request you to look into this issue or tell me any other alternatives.",Topups
"I am wanting to refill my card, is there a charge?",Topups
How long does it take for money to reach my account?,Topups
Is there a limit to the number of disposable cards per day?,Cards
How come the money from the merchant appeared back into my account?,Disputes
"My transfer is quite urgent, and finally worked out, but I've been waiting for it for quite some time. Can you tell me how long to expect to wait for it?",Transfers
In which countries can I get a card?,Account
I am having trouble activating my card.,Cards
"how many virtual cards can i have, i want 8",Cards
Someone took my card without my permission.,Account
How long do transfers take to show up in my account?,Topups
How do I reset my passcode?,Account
Is my card payment reverted?,Disputes
I need to know what charges I will incur for using a European card for top up.,Topups
My card activation attempt failed.,Cards
"Hi,  One of payment is still coming as pending for which i have already paid by card. I guess it did not processed, could you please check and update me.",Payments
I'll send a check to top up my account,Topups
Why hasn't the transaction I did to my friend arrived yet?,Transfers
Which merchants accept my card?,Payments
What currencies do you accept to add money?,Cards
HOW LONG TO TAKE THE TIME TO SOLVE,Cards
What can I do if my card details where stolen from my car? I think they used my card to buy gas.,Account
hello I have lost my phone and I'm worried someone's going to steal money from me,Account
My card got charged twice for the same thing!,Disputes
"I just tried to top-up and now I'm getting an additional verification message, why?",Topups
Can you tell me why a cheque deposit isn't showing in my balance?,Topups
"My top up keeps showing pending?  How long will things be like this?  Days, weeks, months?  I need the money quite urgently for an important coffee purchase, can you please let me know when top up will work?",Topups
Is there an age limit to when my child can use these services?,Account
How can I the person see my money transaction?,Transfers
"Hello,  In my most recent ATM transaction, I didn't receive nearly as much cash as I thought I would - what is your exchange rate policy?",Disputes
I should not have been charged a fee for my transfer.,Transfers
I made a purchase with my card and I was charged a fee for using it,Payments
Why does it say my transfer failed?,Transfers
How do I find out what countries you service and what countries you do not?,Account
My credit card has been declined.,Payments
"My top-up does not seem to have worked, what  went wrong?",Topups
Can I get some help activating my new card?,Cards
Why was the exchange rate so wrong when I bought something!,Disputes
How long will it take for me to get my card?,Cards
Why is my last cheque deposit taking so long?,Topups
Are cards issued to people living in the US?,Account
"I've just made a money transfer to the wrong account, I need to stop the money from being moved as it may be going to someone I don't know.  Please can you help?",Transfers
I'm getting concerned here.  I sent a friend some money and she isn't seeing it.  What's going on?,Transfers
How do I add my new card?,Cards
I have a direct debit that I did not set up,Disputes
One of my card payments has reverted,Disputes
"I need to exchange my GBP to AUD, how would I do this?",Payments
I was charged an extra pound for no reason. Why is that?,Disputes
I am under the impression that my top up is still pending,Topups
What can you use the disposable cards for?,Cards
I misplaced my phone so I can't use the app! Does this mean I can't use my card?,Account
what cards and currencies are accepted?,Cards
"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?",Transfers
I have a reverted top up I made and wanted to know why it didn't go through.,Topups
"Someone has a copy of my card !! I definitely still have it here but someone just made a 500£ cash withdrawal, HELP!",Disputes
"Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank!",Payments
What kind of charges should I expect to exchange currencies?,Payments
How long does transfer from the US take?,Transfers
Why is it I am charged an extra fee when I use the ATM?,Payments
I have have multiple charges for one transaction.,Disputes
I have transactions that I don't recognize - I think someone is using my card.,Account
I have a transaction that shows multiple times.,Disputes
What needs to be provided for identity verification?,Account
I got some cash but it wasn't the right amount.,Disputes
Is there a charge for cash withdrawals? I always thought it was free.,Payments
Please help!  There was an extra fee when I got cash.,Payments
What do I do to lock my phone after losing it so my account isn't accessed,Account
Are there any express fees if i want my new card faster?,Cards
why wasn't a transfer to account approved,Transfers
There is a cash withdrawl I don't remember.,Disputes
What is this extra pound charge for?,Disputes
I don't know how to verify my identity.,Account
How can I edit my personal details in the app?,Account
Explain the activation method for this card,Cards
What kind of fiat currencies are supported for holding and exchange?,Payments
When will I receive a transfer from europe?,Transfers
I can't see my refund in my history.,Disputes
Why hasn't the transaction I did arrive yet?,Transfers
I want to replace my current PIN.,Account
What do I need to see my source of money?,Account
I was supposed to get a refund but I do not see it on my statement. When is it going to be updated?,Disputes
"Everything seems fine with my account, so why did it decline my payment?",Payments
I haven't received my card.,Cards
Please help me figure out the reason for the odd withdrawal amount from my account?,Disputes
how do i avoid charges in the future,Payments
"My card is stuck inside the ATM, what am I supposed to do?",Cards
Please tell me if I'm going to be charged for sending out more cards?,Cards
"I have lost my card, but need to place an online order! How do I get a virtual card instantly?",Cards
Do you allow exchanges of EUR?,Payments
Is there a tracking number for the card?,Cards
what currencies do you accept?,Payments
"I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?",Disputes
Exchange rate on a purchase was incorrect,Disputes
I am planning activating my card was it possible?,Cards
I sees some suspicious spending on my credit card that I don't recall I had made. What should I do?,Account
I was charged twice for an in-store purchase that I thought was declined.  My App says that it's still pending for one of the payments. Please make sure one of the charges is removed.,Disputes
I transferred some cash and it has not arrived yet.,Transfers
How long will an urgent transfer from China take?,Transfers
There is a payment on my card that I do not recognize.  I've never seen the name on the transaction before.,Disputes
What are the disposable cards used for?,Cards
What will happen after my card expires?,Cards
When will my money be in my account?,Transfers
Is my card actually working? It's the first time I tried using it,Payments
I can't recognise this Direct Debit payment.,Disputes
I am unable to use my top-up on the app. Could you explain this to me?,Topups
Why has my card been charged an extra pound?,Disputes
"I still haven't received my card after two weeks, is it lost?",Cards
I don't recognize this payment at all!  Help!,Disputes
"help, I see money missing I didn't take out.",Disputes
How long will the $1 charge show as pending?,Disputes
"I normally have no issues making transfers, so why am I suddenly being told it is not possible?",Transfers
What kind of ATMs would this card be accepted at?,Payments
Why did I get charged extra?,Payments
When I received my cash; they had my exchange rate incorrect.,Disputes
How much does top up fees cost?,Topups
Why was there an extra charge when I transferred money?,Transfers
I got cash and the exchange rate should have been different than it ended up being.,Disputes
I was checking my account when I saw a $500 cash withdraw that I know I didn't do.  I have my card so I don't understand how this happened.  Please help me.,Disputes
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.",Topups
Please help me find my top-up verification code,Topups
Where do I get a disposable card,Cards
What are the steps for  making a transfer for topping up?,Transfers
I am required to make several disposable cards every day.,Cards
"On my last trip, I received the incorrect exchange rate.",Disputes
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,Disputes
I made a check deposit but the cash hasn't arrived in my account yet.,Topups
I need to close my account as soon as possible.,Account
A duplicated payment was made for something.,Disputes
I think there has been a mistake with my transfer,Transfers
I found my old card. Can I link it back into the app?,Cards
Can you show me how to top up with Google play?,Topups
Help.  My card is broken.,Cards
How long do I have to wait until the transferred money shows up?,Topups
I would like to order a virtual card.,Cards
how long will my cash withdrawal be pending for?,Payments
My account shows I made a debit payment to someone that I can't recall and would like to find out who the payment was made to.,Disputes
I need several cards per day. And I need to be able to throw away all of the cards I make.,Cards
Can topping up be automatic?,Topups
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",Payments
How do I complete the ID check?,Account
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,Disputes
Why do some of my payments have fees?  I don't understand.,Payments
"I didn't think my country-to-country money transfer would take so long. It still says that it's pending so I re-checked all of the account information--everything seems right, so what's the deal?",Transfers
I can't find my phone; what can I do to prevent someone from accessing my account on it?,Account
Will I receive all the money sent to my account by SEPA transfer?,Topups
What is the max amount of top-ups?,Topups
What payment methods are used to top up?,Cards
Can I use SWIFT transfers?,Topups
I notice that I have a card payment that's been cancelled.,Disputes
It's been a week since I ordered my card and it's not here. Please help?,Cards
"Can you let me know where my refund money is? I requested a refund a few days back, but it's not showing up yet.  Do you guys have the money yet? Maybe it's just not in my account.  Let me know when it will become available, please.",Disputes
"Hi, I want to inquire about my balance. Some cash was deposited and it hasn't updated yet.",Topups
"Hi, I lost my phone yesterday, what can I do to stop someone using my account on it?",Account
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",Payments
How long do I have to wait for the transfer to be finalized?,Transfers
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",Cards
When will the money show in my account?,Transfers
Why hasn't my cash been deposited yet?,Topups
I was charged a hidden fee when I paid with card.,Payments
Why did I get charged for a transfer?,Transfers
How can a payment be declined,Payments
can I have multiple currencies?,Payments
I can't get my virtual card to work.,Cards
Would I get a Visa or Mastercard?,Cards
"I am having trouble doing a transfer. A ""Decline "" message appears after making the transfer.",Transfers
"If I wanted to change my PIN, how would I do that?",Account
Who do I talk to for transactions debited twice?,Disputes
I tried to get cash out of the ATM but it is taking too long,Payments
I tried pulling out money at the ATM and it gave me an incorrect amount back.,Disputes
"I can't see if the transfer I did a couple days ago is in my account yet. I double checked my info before sending, too. Can you check this?",Transfers
I seem to have lost my card.,Account
Can I have money of different country of origin.,Payments
I want to activate my new card.,Cards
How old do my kids need to be to use your service?,Account
"My top-up was cancelled, could my bank be the problem?",Topups
My bill shows the same charge more than once,Disputes
What's your refund policy if I bought an item from you?,Disputes
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",Payments
"If I am in China, can I still order a new card and if so, how?",Cards
How long will it take for my payment to go through?,Payments
Could you explain why my card payment did not work?,Payments
How many currencies can I have money in in my account?,Payments
There is unexpected money in my account.,Disputes
"If I bought something I didn't like, can I get a refund?",Disputes
"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please.",Topups
The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly.,Disputes
How do I active this card?,Cards
I was only given $20 when I tried to get $100,Disputes
Does it cost anyting to get my own card?,Cards
"I have an account at another bank, but I want to transfer some of the money to my account here.
.",Transfers
Why did I get a $1 extra fee on the statement?,Disputes
How can I change my account details?,Account
Is my card valid everywhere?,Payments
Do you accept credit cards from the US,Cards
How long does a transfer transaction take?,Transfers
The $1.00 has still not been reverted as indicated in the previous email.,Disputes
How can I change my PIN without going to the bank?,Account
The app says my transfer failed,Transfers
Can I use my bank account to send me more money?,Transfers
How come I got blocked for entering wrong pins?,Account
do i have to wait for a physical card before i get my pin,Cards
Which cards do you support for top up?,Cards
"Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money",Topups
Where can I order a card?,Cards
Why does my top-up get cancelled?,Topups
Is there an option to top up with a cheque?,Topups
The app doesn't think it's me.,Account
"There are a few transaction that I don't recognize, I think someone managed to get my card details and use it.
",Account
What US credit cards do you accept?,Cards
Why was I charged an additional fee when paying with card?,Payments
May I get my salary paid out in a different currency?,Transfers
Why was I declined from getting cash?,Payments
why hasn't my virtual card arrived?,Cards
Is exchanging currencies a feature of the app?,Payments
Why do I need to verify the top-up?,Topups
Is there a way to order a virtual card on the website?,Cards
"I can't figure out how to change GBP to AUD, what do I do?",Payments
Where can I get my card PIN?,Cards
"What's go on, where is my new card?",Cards
I do not see the card PIN anywhere?,Cards
What can I use to verify my identity?,Account
"i received my American Express in Apple pay, why is top up not working?",Topups
how to i go about getting my virtual card,Cards
I see a payment on my statement for  a place I didn't make a purchase at.,Disputes
Is there anyway to use a cheque to top up?,Topups
How can I prove the source of my funds?,Account
Do I have a card PIN?,Cards
When will my refund come through,Disputes
When will the check I deposited post to my account?,Topups
What currencies can my account be in?,Payments
I think that there was an error in calculating the exchange rate.  I recently withdrew cash and received much less than expected.,Disputes
Do I have a Visa card as an option?,Cards
