model,text,y_true,y_pred
Qwen/Qwen2.5-0.5B-Instruct,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,"I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here?",Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,What is the cost for physical cards?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,totally unacceptable.  I'm stranded with no cash because the ATM wouldn't give me any money!,Payments,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,"My phone was stolen, help!",Account,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"I no longer have my phone with the app, what should I do?",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What do I do if my card is stolen?,Account,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"top up google pay, is it possible?",Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,Please specify any limitations that come along with disposable cards.,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,I have a trip coming up and want to add money automatically.,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My package is taking too long to arrive and I don't want it anymore. Can I get a refund?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I just sent money but the person I sent it to doesn't see it. What happened?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I deposited a cheque and its been days and I still haven't received the cash!!,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,The machine only paid me a hundred when I wanted 20,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I used my card to top-up but the money is gone!,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I made a transfer from my UK account a couple of hours ago.  Could you please make sure everything went alright.,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I got some cash in the ATM but its still pending,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I would like to use one of my cards for a family member. Is that allowed?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,can I use it all over the world?,Account,Payments
Qwen/Qwen2.5-0.5B-Instruct,ATM withdrawal not working.,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,Why does it show that my transfer is still pending?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"Hi, status of one of my card payment is still pending from a while. Please let e know how much time it will take to complete.",Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,There should be a cash withdrawal that I haven't seen yet.,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,how do I find the code to verify the top up card?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,how many transactions can go on a disposable card?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,Explain the extra ATM fees.,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,Can you tell me what I need to do for the identity check process?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I need info on activating my card?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,How long will my cash withdrawal take,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,What should I do since my card is trapped in the ATM?,Cards,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Is there a limit for top ups?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,"So, I am in the middle of purchasing a flat. I need the money for the first mortgage payment and it is not going through. I keep receiving an error. Can you find out what's going on and help me complete this transfer?",Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,Why is my cash withdrawal pending?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,What do I do if I have been charged twice?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Why do transfers get declined?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I used foreign currency to buy something and I think the rate applied is incorrect.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,Do you accept cheques for top ups?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,When will my top up be approved?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,The wrong exchange rate was used when I purchased an item.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,"I thought I knew my password but I guess I was wrong, what can I do now?",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Please can i get a disposable virtual card as well?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,Can I add money in intervals to my account?  I will be traveling.,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How can I unblock my PIN?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What are the steps for the identity checks?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I'd prefer to use my American Express when putting funds into my account.,Cards,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I didn't make these transactions. Is someone else using my card?,Account,Payments
Qwen/Qwen2.5-0.5B-Instruct,Its been several days and my cash withdrawal is still pending. Why?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,When I exchanged currencies the value of my money changed.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My transfer is failing when I try to do it.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Is there a reason I was charged an extra fee for using the ATM?,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,There is a payment made with my card that I don't recognize at all.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,Am I going to be charged for receiving  money?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,I want to set up an auto top-up,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I am angry that I got charged for using my card.,Payments,Disputes
Qwen/Qwen2.5-0.5B-Instruct,Do you support other currencies?,Payments,Cards
Qwen/Qwen2.5-0.5B-Instruct,I have a payment which has not been approved.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,I didn't make this payment and it's on my app,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I need help fixing my contactless. It's not working anywhere I go today.,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,Can I use my social security card as a form of identity?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,The exchange rate applied was incorrect when I was traveling outside the country.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,What are the steps that I need to take to activate a new card?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,I paid with my card and was charged extra,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,"How long does the ""pending"" period of a transfer take?",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I tried doing an in country transfer earlier this week. I thought it would be there by now but I still don't see the money. Can you check the status on my transfer?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,i tried to do a transfer to an account but it didn't work,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Where can I find a Mastercard ATM?,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,"My card was used without my permission, what do I do?",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,How does your app transfer the money,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I wish to use my American Express to put funds into my account.,Cards,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Do you accept US credit cards?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,can i go into my app to find my pin,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,"Um, my top up didn't work",Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I was trying to purchase some crypto and the app won't allow me to do it. What's the deal with this? I really wanted to complete the exchange.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Can this app be used to exchange currencies?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My card payment was cancelled it seems.,Disputes,Account
Qwen/Qwen2.5-0.5B-Instruct,When will I get a virtual card? I haven't gotten one yet,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening.",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I sent money to someone but they haven't gotten it yet,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,If I top-up by using a trasfer are there charges that applied?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Where do I find my PIN for my new card?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,Can I use American express with apple pay? Why does it make my top up not work?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,Who do I talk to about the ATM swallowing my card?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,Is there any way to cancel my transfer,Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,I just did a money transaction but its not showing they received it,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,It won't let me prove my identity.,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Where do I scan my card?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,Where can I find the auto-top up feature?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Do I get any sort of discount on volume for a lot fo currency exchanges?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,"It seems you keep declining my transfers. Before, it's always worked very well.Just now when I tried to buy something the card was declined. I tried more than once and it was the same thing each time.",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"There was money taken out of my account, and I'm pretty sure I didn't do it.",Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Are there ATM fees?,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,"I have been doing some online shopping, but when checking out, it keeps getting declined. I tried a few times and it wouldn't work. What could be wrong?",Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,There's a direct debit payment that I don't recognize.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,Can I change my pin at a cash machine?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I don't need to transfer anymore and I want to cancel it.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,how do i find out about transfers,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I want to top up by cheque,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Please delete my account now.,Account,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out?",Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,What are the auto-top up policies?,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,Topups,Account
Qwen/Qwen2.5-0.5B-Instruct,I don't understand why you aren't accepting my transfer. After a couple times trying I'm still getting an error message.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Do you have an age requirement when opening an account with your service?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What form of identification is accepted?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Help! I lost my card!,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Why did they take more money out then I withdrawed?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Do I need to verify my top-up?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Can I use top-up with Apple pay?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I happened to forget my password,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,My pin isn't here yet,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,Cash withdrawal was incorrect at ATM.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,What's the transfer time from Europe?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Can I use google pay for topping -up,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,Tell me why my transfer is pending.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Where can I use my Mastercard?,Payments,Cards
Qwen/Qwen2.5-0.5B-Instruct,My card payment won't work.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,How to I switch my money for the money used in another country?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I want my purchases cancelled.,Disputes,Cards
Qwen/Qwen2.5-0.5B-Instruct,What should I expect to be charged on a SEPA transfer?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,Will there be a charge for exchanging foreign currency?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I'm not sure what I need to verify my identity.,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,How much would an extra card cost?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,I need to change a transfer.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Is there a way I can get my card expedited?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,how much for a physical card?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,"If I lost my phone at the hotel, can I still use the app?",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Why did my payment not go through why did it cancel?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I am so angry right now!  I went to the ATM and did not get the correct amount of money I chose to withdraw.  How could this happen?  I need my money and want to know how I can get it ASAP!,Disputes,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,How many transactions can I make on my disposable card?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,"My PIN is unlocked, what do I do?",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,How do I get a refund for an unauthorized direct debit payment?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,My identity can't be verified for some reason,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,is there a way to see where funds come from,Account,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I think the exchange rate for the cash I withdrew was wrong.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How quickly can you get me my card?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,My card expires next week. How do I get a new one?,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,Can you lookup my password?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Can my 8 year old grandson open an account at the bank?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,"For some reason, the money I added was returned.",Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"When I got cash, my exchange rate was off.",Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How can you assist on verifying my identity?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,why do I have to show my ID,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,You promised no fees but now I've got one. What the hell!?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,My payment did not go through because the app reverted it,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,Is it free to transfer money or is there a fee?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"My refund has not arrived, and I am unsure why. Who do I contact?",Disputes,Account
Qwen/Qwen2.5-0.5B-Instruct,Why would my payment still show as pending?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How do I auto top-up?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,Is there a limit to auto top?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I haven't received my virtual card.,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,Is the top-up amount unlimited?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,"I have obtained the salary in GBP, will it need to be configured?",Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,Can I track my card while it is in the process of delivery?,Cards,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Where can I edit personal details?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,How old do my kids need to be to open an account?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Why are all my card payments being declined?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,My cheque is taking a while,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,Why wasn't my bank balance updated?,Topups,Account
Qwen/Qwen2.5-0.5B-Instruct,WHAT IS THE SOLUTION OF THIS PROBLEM,Cards,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How do you determine the exchange rate?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How can I change to my married name?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,"While transferring money, its getting error out as my transfer is not possible. Please help me in this as earlier i was able to do it successfully.",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My wallet doesn't show my recent top up.,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Need a new passcode.,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What will I need to configure if my salary is in GBP?,Transfers,Account
Qwen/Qwen2.5-0.5B-Instruct,When I topped up the app reverted it.,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I have one other credit card from the US. Do you take it?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"Hi, My card is getting declined continuously when i am trying to top-up. Request you to look into this issue or tell me any other alternatives.",Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,"I am wanting to refill my card, is there a charge?",Topups,Cards
Qwen/Qwen2.5-0.5B-Instruct,How long does it take for money to reach my account?,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Is there a limit to the number of disposable cards per day?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,How come the money from the merchant appeared back into my account?,Disputes,Transfers
